customer_id,gender,age,income,income_bracket,became_member_on,membership_tenure_days,total_spend,n_transactions,avg_transaction_amount,n_offers_received,n_offers_viewed,n_offers_completed,avg_time_to_complete_hours,offer_id,offer_type,reward,difficulty,duration,channels,offer_completed,has_completed_offer
68be06ca386d4c31939f3a4f0e3dd783,Unknown,55.0,64000.0,Unknown,2017-02-12,529,20.4,9,2.2666666666666666,5,5,2,96.0,fafdcd668e3743c1bb461111dcafc2a4,discount,2.0,10.0,10.0,"['web', 'email', 'mobile', 'social']",1,1
0610b486422d4921ae7d2bf64640c50b,F,55.0,112000.0,High,2017-07-15,376,77.01,3,25.67,2,0,1,120.0,9b98b8c7a33c4b65b9aebfe6a799e6d9,bogo,5.0,5.0,7.0,"['web', 'email', 'mobile']",1,1
38fe809add3b4fcf9315a9694bb96ff5,Unknown,55.0,64000.0,Unknown,2018-07-12,14,14.3,6,2.3833333333333333,2,2,0,,5a8bc65990b245e5a138643cd4eb9837,informational,0.0,0.0,3.0,"['email', 'mobile', 'social']",0,0
78afa995795e4d85b5d9ceeca43f5fef,F,75.0,100000.0,High,2017-05-09,443,159.27,7,22.752857142857145,4,4,3,80.0,9b98b8c7a33c4b65b9aebfe6a799e6d9,bogo,5.0,5.0,7.0,"['web', 'email', 'mobile']",1,1
a03223e636434f42ac4c3df47e8bac43,Unknown,55.0,64000.0,Unknown,2017-08-04,356,4.65,3,1.5499999999999998,5,3,0,,0b1e1539f2cc45b7b9fa7c272da2e1d7,discount,5.0,20.0,10.0,"['web', 'email']",0,0
e2127556f4f64592b11af22de27a7932,M,68.0,70000.0,Medium,2018-04-26,91,57.73,3,19.243333333333336,4,3,2,66.0,9b98b8c7a33c4b65b9aebfe6a799e6d9,bogo,5.0,5.0,7.0,"['web', 'email', 'mobile']",1,1
8ec6ce2a7e7949b1bf142def7d0e0586,Unknown,55.0,64000.0,Unknown,2017-09-25,304,0.0,0,0.0,5,5,0,,fafdcd668e3743c1bb461111dcafc2a4,discount,2.0,10.0,10.0,"['web', 'email', 'mobile', 'social']",0,0
68617ca6246f4fbc85e91a2a49552598,Unknown,55.0,64000.0,Unknown,2017-10-02,297,0.24,2,0.12,5,4,0,,2298d6c36e964ae4a3e7e9706d1fb8c2,discount,3.0,7.0,7.0,"['web', 'email', 'mobile', 'social']",0,0
389bc3fa690240e798340f5a15918d5c,M,65.0,53000.0,Low,2018-02-09,167,36.43,3,12.143333333333333,6,6,5,194.57142857142856,f19421c1d4aa40978ebb69ca19b0e20d,bogo,5.0,5.0,5.0,"['web', 'email', 'mobile', 'social']",1,1
8974fc5686fe429db53ddde067b88302,Unknown,55.0,64000.0,Unknown,2016-11-22,611,15.62,6,2.603333333333333,4,3,1,54.0,4d5c57ea9a6940dd891ad53e9dbe8da0,bogo,10.0,10.0,5.0,"['web', 'email', 'mobile', 'social']",0,1
